eps_ms,topology,mechanism,n_instances,feasible_fraction_mean,feasible_fraction_ci_low,feasible_fraction_ci_high,feasible_fraction_n,feasible_opt_coverage_mean,feasible_opt_coverage_ci_low,feasible_opt_coverage_ci_high,feasible_opt_coverage_n,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,welfare_ratio_all_mean,welfare_ratio_all_ci_low,welfare_ratio_all_ci_high,welfare_ratio_all_n,welfare_ratio_feasible_mean,welfare_ratio_feasible_ci_low,welfare_ratio_feasible_ci_high,welfare_ratio_feasible_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,revenue_ratio_all_mean,revenue_ratio_all_ci_low,revenue_ratio_all_ci_high,revenue_ratio_all_n,revenue_ratio_feasible_mean,revenue_ratio_feasible_ci_low,revenue_ratio_feasible_ci_high,revenue_ratio_feasible_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,BatchVCG_B10ms,17500,0.9311286666666668,0.9303196761904762,0.9319334333333332,17500,0.9964688075475229,0.9961546461929326,0.9967763367927147,17500,0.52219402362401,0.5177520871397642,0.5266596954150009,17500,0.52219402362401,0.5176798268069334,0.5265896897119984,17500,0.5240791116703871,0.5196432085171941,0.528526919775408,17500,9.004233161141334e-05,1.3258671760442393e-05,0.0002003846372050109,17500,9.004233161141334e-05,1.3258671760442393e-05,0.000199678646401766,17500,9.122329136841112e-05,1.3258671760442393e-05,0.0002032192126673534,17500,1.328399032354355e-06,1.3218699395656585e-06,1.3349939350570952e-06,17500,118465.36811661653,116484.54428951096,120455.49880330337,17500,47.18034699590574,45.37479308734092,49.00311256059622,17500,27.932971428571427,27.73737,28.130521428571427,17500
0.0,DSN-30,BatchVCG_B1ms,17500,0.9311286666666668,0.9303305619047619,0.9319195404761905,17500,0.9964688075475229,0.9961536338154681,0.9967790042595541,17500,0.5221896520206305,0.5177748808424087,0.5265607166008296,17500,0.5221896520206305,0.5177362206377925,0.5264480909938695,17500,0.5240747400670075,0.5196946010753464,0.5286056764863138,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,1.3735208128179822e-06,1.3672975676932505e-06,1.3799721654504537e-06,17500,118456.3681617383,116497.30675421125,120437.52952042685,17500,47.22282822280381,45.43975545115046,49.03049810955933,17500,27.932971428571427,27.74114,28.126931428571428,17500
0.0,DSN-30,BatchVCG_B20ms,17500,0.9311286666666668,0.9303283809523809,0.9319447738095239,17500,0.9964688075475229,0.9961494186868567,0.9967774475412311,17500,0.52219402362401,0.5176769588674545,0.5265499118172813,17500,0.52219402362401,0.517774676941041,0.526649793690957,17500,0.5240791116703871,0.5197210775981466,0.5284760417982018,17500,0.00012943547452712344,3.110663975361416e-05,0.0002512941444770777,17500,0.00012943547452712344,3.5407246956989684e-05,0.00025391008823243496,17500,0.0001306164342841212,3.072309767021432e-05,0.0002579039152023514,17500,1.3509396995816912e-06,1.344085998300995e-06,1.3579543413860457e-06,17500,118475.36813915722,116490.34107769492,120451.0586081758,17500,47.13319012776857,45.34380122638706,48.95365799512405,17500,27.932971428571427,27.736965714285716,28.129605714285713,17500
0.0,DSN-30,BatchVCG_B50ms,17500,0.9311286666666668,0.9303135166666666,0.9319181047619048,17500,0.9964688075475229,0.9961453869527633,0.9967745599065677,17500,0.5222842015854291,0.5178597971530736,0.5267059667027858,17500,0.5222842015854291,0.5178755589678758,0.526786487404844,17500,0.5241693524473302,0.5197086224840939,0.5286568402494679,17500,0.00029017206942663154,0.0001338685462330324,0.00047847949581735855,17500,0.00029017206942663154,0.00013387969339387617,0.0004800437201934055,17500,0.0002927184263369712,0.00013382768650767353,0.000480776548085268,17500,1.3183511793613434e-06,1.3116487208753825e-06,1.3251522183418273e-06,17500,118505.3681065687,116532.99177539608,120495.08268041973,17500,46.993944341495855,45.19941113714545,48.788188694087225,17500,27.932971428571427,27.738958571428572,28.122347142857144,17500
0.0,DSN-30,BatchVCG_B5ms,17500,0.9311286666666668,0.9303476142857142,0.9319223095238096,17500,0.9964688075475229,0.9961460599853927,0.9967806114201676,17500,0.5221896520206305,0.5176572435506759,0.5266201154393642,17500,0.5221896520206305,0.5178064979430258,0.5266730282563746,17500,0.5240747400670075,0.5196001962542709,0.5285027416210399,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,1.3414031160729273e-06,1.3344364081110272e-06,1.348608291840979e-06,17500,118460.36812962062,116491.86914473567,120422.67624787426,17500,47.2039429712645,45.38451675672884,48.971576159756694,17500,27.932971428571427,27.734512857142857,28.130578571428572,17500
0.0,DSN-30,FastVCG,17500,0.9311286666666668,0.9303064619047618,0.9319082857142857,17500,0.9964688075475229,0.9961448676684953,0.996780548262158,17500,0.5221896520206305,0.5177567830215407,0.526664817907947,17500,0.5221896520206305,0.5177761855541643,0.5266066314663163,17500,0.5240747400670075,0.5195832922191215,0.5284753642890397,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,1.3794599899223872e-06,1.3729384288723979e-06,1.385808370209166e-06,17500,118455.3681676775,116497.01096683065,120452.65526185987,17500,47.22755072180994,45.42617910125642,49.04083384704467,17500,27.932971428571427,27.73371142857143,28.127147142857144,17500
0.0,DSN-30,HoldBack,17500,0.9311286666666668,0.9303149357142856,0.9319291500000001,17500,0.9964688075475229,0.9961441895219842,0.9967772266217714,17500,0.9964688075475229,0.9961466601002944,0.9967808521643656,17500,0.9964688075475229,0.9961524866638796,0.9967730750361987,17500,1.0,1.0,1.0,17500,0.9469608194569521,0.9459503681887967,0.9479755103032993,17500,0.9469608194569521,0.9459423222405544,0.9479447741269286,17500,0.9502165241892848,0.9492849063656964,0.9511445364289647,17500,1.7936942832810538e-06,1.7823899191405093e-06,1.8045860755124262e-06,17500,1194723.208067334,1194601.026529064,1194834.2396492427,17500,9.711459076068222e-41,3.2083865100571034e-43,2.8482332233575728e-40,17500,27.932971428571427,27.73582857142857,28.133951428571425,17500
0.0,DSN-30,LIA_lambda0.5_per_s,17500,0.9311286666666668,0.9303278857142858,0.931922311904762,17500,0.9964688075475229,0.9961497478825385,0.996784650357517,17500,0.8855692051474662,0.8830475173949603,0.8880019575637967,17500,0.8855692051474662,0.8829998823361436,0.8880758942496374,17500,0.8885133429928872,0.8860820634345347,0.8909810252011892,17500,0.7282983540103064,0.7245743933567962,0.732096567615599,17500,0.7282983540103064,0.724442564755688,0.7320083687242903,17500,0.7303493195395391,0.7266070306997787,0.7341866015680242,17500,5.961924897772926e-06,5.92484140369509e-06,5.998561967696463e-06,17500,1194099.1362450758,1193864.7131379745,1194315.27946716,17500,3.7672480523155806e-33,1.6714065633333234e-38,1.1184066227241728e-32,17500,27.932971428571427,27.73713857142857,28.127774285714285,17500
0.0,DSN-30,LIA_lambda1_per_s,17500,0.9311286666666668,0.9303265595238095,0.9319398309523811,17500,0.9964688075475229,0.9961507276954261,0.9967827813578884,17500,0.8851316229267703,0.8826420835011958,0.8876420037504882,17500,0.8851316229267703,0.8826429197792113,0.8875728369105147,17500,0.888074630677057,0.8855980419037676,0.8904697965179623,17500,0.7274614903454442,0.7237377095648929,0.7311457117049383,17500,0.7274614903454442,0.7236992943995881,0.7312171325695891,17500,0.7295066029390199,0.7257811345930489,0.7333119424035773,17500,5.848575755953788e-06,5.811881544068456e-06,5.885315876720207e-06,17500,1194099.1361317267,1193871.2085550595,1194317.4220591495,17500,3.767248053106556e-33,1.6620987419962864e-38,1.1184053981751686e-32,17500,27.932971428571427,27.73857,28.13171714285714,17500
0.0,DSN-30,LIA_lambda2_per_s,17500,0.9311286666666668,0.9303231404761904,0.9319356285714286,17500,0.9964688075475229,0.9961492428109767,0.9967723933207925,17500,0.8845567372188426,0.8819984682204468,0.8870104522608875,17500,0.8845567372188426,0.8819903029978883,0.8870584130738964,17500,0.8874989417381647,0.8849995852025822,0.8900159989290267,17500,0.7262643927962437,0.7225406696156362,0.73004033324807,17500,0.7262643927962437,0.7224507856952773,0.7300045879966149,17500,0.7283035097493631,0.7245175208329512,0.732170227092147,17500,5.817120841571263e-06,5.780373751851065e-06,5.853240388844694e-06,17500,1194099.1361002717,1193863.9331953798,1194319.1197384517,17500,3.767248053482274e-33,1.6566076768863984e-38,1.1169725660618356e-32,17500,27.932971428571427,27.73930142857143,28.129887142857143,17500
