eps_ms,topology,bidder_count,mechanism,n_instances,feasible_fraction_mean,feasible_fraction_ci_low,feasible_fraction_ci_high,feasible_fraction_n,feasible_opt_coverage_mean,feasible_opt_coverage_ci_low,feasible_opt_coverage_ci_high,feasible_opt_coverage_n,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,welfare_ratio_all_mean,welfare_ratio_all_ci_low,welfare_ratio_all_ci_high,welfare_ratio_all_n,welfare_ratio_feasible_mean,welfare_ratio_feasible_ci_low,welfare_ratio_feasible_ci_high,welfare_ratio_feasible_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,revenue_ratio_all_mean,revenue_ratio_all_ci_low,revenue_ratio_all_ci_high,revenue_ratio_all_n,revenue_ratio_feasible_mean,revenue_ratio_feasible_ci_low,revenue_ratio_feasible_ci_high,revenue_ratio_feasible_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,10,BatchVCG_B10ms,3500,0.9323142857142859,0.929657142857143,0.9349428571428572,3500,0.9921279370118621,0.9907781732209274,0.993385648946007,3500,0.5394075412861802,0.5290355528451777,0.5496846017755687,3500,0.5394075412861802,0.529195416652746,0.5496651591245016,3500,0.5437413559995011,0.5333965887331559,0.5543438582827181,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,7.552150636911392e-07,7.525682116725615e-07,7.583421854568379e-07,3500,238209.86653008734,231546.03861293147,244730.95074484267,3500,23.330970023388275,20.129345745841746,26.742462195569747,3500,9.323142857142857,9.296,9.350285714285715,3500
0.0,DSN-30,10,BatchVCG_B1ms,3500,0.9323142857142859,0.9296000000000001,0.9349428571428572,3500,0.9921279370118621,0.9908184748229979,0.9934116941188955,3500,0.5393856832692825,0.5291745433228315,0.549802521191115,3500,0.5393856832692825,0.5291580072941772,0.5495645275641997,3500,0.5437194979826034,0.5333525846862764,0.5543899571948776,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,8.095835468598774e-07,8.055429240422589e-07,8.145828398742847e-07,3500,238200.86658445583,231585.3372574366,244865.58678819326,3500,23.351977246977253,20.14439210282698,26.836279058884728,3500,9.323142857142857,9.295714285714286,9.349714285714287,3500
0.0,DSN-30,10,BatchVCG_B20ms,3500,0.9323142857142859,0.9295428571428573,0.9350000000000002,3500,0.9921279370118621,0.990798667478379,0.9933780965102836,3500,0.5394075412861802,0.5289533455816944,0.5497430507359805,3500,0.5394075412861802,0.5291281030133598,0.5500186080101654,3500,0.5437413559995011,0.5331821589170403,0.5538462447165614,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,6.629335880221196e-05,0.0,0.0001988800764066359,3500,7.83193324293409e-07,7.809198261903865e-07,7.856285465615136e-07,3500,238219.8665580656,231460.76287278903,244865.48868266083,3500,23.307650667236985,20.1115883820547,26.659511267070826,3500,9.323142857142857,9.296,9.349714285714287,3500
0.0,DSN-30,10,BatchVCG_B50ms,3500,0.9323142857142859,0.929657142857143,0.9349714285714287,3500,0.9921279370118621,0.9907846388075355,0.9933916896441873,3500,0.5394078377845901,0.5291253874825551,0.5497961498226989,3500,0.5394078377845901,0.529162741632604,0.5498457782055823,3500,0.5437416524979111,0.5333506889416887,0.5540619222923517,3500,0.0003204564768598191,0.0,0.0008950760717772452,3500,0.0003204564768598191,0.0,0.0009613694305794572,3500,0.0003204564768598191,0.0,0.0009613694305794572,3500,7.4808911553451e-07,7.403053875480379e-07,7.579347983534847e-07,3500,238249.8665229614,231533.2867604006,244925.41262071813,3500,23.2378325926891,20.125346331719772,26.50554435194321,3500,9.323142857142857,9.295428571428571,9.350285714285715,3500
0.0,DSN-30,10,BatchVCG_B5ms,3500,0.9323142857142859,0.9296285714285715,0.9349428571428572,3500,0.9921279370118621,0.9907931199167762,0.9934150138219477,3500,0.5393856832692825,0.5288096835353717,0.5497331944611297,3500,0.5393856832692825,0.5288866277236618,0.5495815394197935,3500,0.5437194979826034,0.5334277149532123,0.5542553219972833,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,7.700470409223011e-07,7.652938232890196e-07,7.76010612025857e-07,3500,238204.86654491932,231647.34616516397,244649.45237313394,3500,23.342638394916513,20.134403517726252,26.63655752841602,3500,9.323142857142857,9.295707142857143,9.35,3500
0.0,DSN-30,10,FastVCG,3500,0.9323142857142859,0.9296000000000001,0.9349714285714287,3500,0.9921279370118621,0.9908093079325028,0.993372426681576,3500,0.5393856832692825,0.5288424371934821,0.5497177534748489,3500,0.5393856832692825,0.5290389492707178,0.5496243703170784,3500,0.5437194979826034,0.5335844205706051,0.5541557220112516,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,8.090939372777939e-07,8.029474211590631e-07,8.173021221799509e-07,3500,238199.86658396624,231595.85952304382,244714.65212237477,3500,23.354312556199265,20.22533510088904,26.63370572384355,3500,9.323142857142857,9.295714285714286,9.349714285714287,3500
0.0,DSN-30,10,HoldBack,3500,0.9323142857142859,0.9295714285714286,0.9350000000000002,3500,0.9921279370118621,0.9908115801896838,0.9933688756903962,3500,0.9921279370118621,0.9908229814966254,0.9933805243303347,3500,0.9921279370118621,0.9907711391821024,0.9933905302001325,3500,1.0,1.0,1.0,3500,0.8850962586814223,0.8815738467287041,0.8885087397393553,3500,0.8850962586814223,0.8816456930875217,0.8885502200579806,3500,0.8920241211514026,0.8886896442360404,0.8952458117191309,3500,7.944452975477491e-07,7.893789426556655e-07,8.006753266922065e-07,3500,1192604.1212016852,1192011.7812063058,1193158.6269236158,3500,4.855729533221279e-40,1.607112503905625e-42,1.4283469923699523e-39,3500,9.323142857142857,9.296285714285714,9.34972142857143,3500
0.0,DSN-30,10,LIA_lambda0.5_per_s,3500,0.9323142857142859,0.9296278571428571,0.9349721428571429,3500,0.9921279370118621,0.9908025606733523,0.9934165203796438,3500,0.768971441315592,0.7602447004103233,0.7776469235958273,3500,0.768971441315592,0.7603786853328911,0.77774484804826,3500,0.7748997105901989,0.7662347725555836,0.7832863718603368,3500,0.44800628692196826,0.43743718620380795,0.45845618777692215,3500,0.44800628692196826,0.4373898145915641,0.45853034616558885,3500,0.4509380304508521,0.44026050877275935,0.4614661922095145,3500,2.5960345353399006e-06,2.5784324521997144e-06,2.620574512651988e-06,3500,1189545.0799420178,1188418.453157717,1190592.1658181895,3500,1.8836240261577895e-32,8.344864331324174e-38,5.577189169589059e-32,3500,9.323142857142857,9.296285714285714,9.350285714285715,3500
0.0,DSN-30,10,LIA_lambda1_per_s,3500,0.9323142857142859,0.9295428571428573,0.9350007142857144,3500,0.9921279370118621,0.9907946207982316,0.9934289526327427,3500,0.7686703944566013,0.759918151359523,0.7772267746499928,3500,0.7686703944566013,0.760008615607585,0.7772611592232536,3500,0.7745986637312081,0.7658970728777258,0.7830420126871619,3500,0.4465271189115018,0.43600029808865276,0.45725566230840525,3500,0.4465271189115018,0.4357002785927011,0.4572487575856362,3500,0.44944123984102635,0.43875484290813044,0.46018825002393016,3500,2.4978103382246836e-06,2.4889248090663126e-06,2.507478617397802e-06,3500,1189545.0798437935,1188425.1215891559,1190609.221309171,3500,1.8836240265532778e-32,8.476151817252841e-38,5.570035511490533e-32,3500,9.323142857142857,9.296,9.35,3500
0.0,DSN-30,10,LIA_lambda2_per_s,3500,0.9323142857142859,0.9295714285714286,0.9349428571428572,3500,0.9921279370118621,0.9908229970501405,0.9933690004325643,3500,0.7682533359887714,0.7595434553718856,0.776709123679612,3500,0.7682533359887714,0.7593719123501219,0.7768575489466825,3500,0.7741810019662995,0.765357093667235,0.7826853168973145,3500,0.44528278933111326,0.4347518772089413,0.4557949576760734,3500,0.44528278933111326,0.4345587559594306,0.45594819532364506,3500,0.44818543393076404,0.4376970506084317,0.4589624554548518,3500,2.4678861456257957e-06,2.4591347668319943e-06,2.4774139347885336e-06,3500,1189545.0798138694,1188408.2659971463,1190611.3569225702,3500,1.883624026741136e-32,8.305277946224286e-38,5.592025773826758e-32,3500,9.323142857142857,9.296,9.35,3500
