eps_ms,topology,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,BatchVCG_B10ms,17500,0.5221940236240099,0.5177520871397642,0.5266596954150009,17500,9.004233161141334e-05,1.3258671760442393e-05,0.0002003846372050109,17500,1.4922942300992353e-06,1.484456861923848e-06,1.50022268578011e-06,17500,118465.36828051173,116484.5444508402,120455.49897210894,17500,47.18034606668573,45.37479209456948,49.003111756361605,17500,27.932971428571427,27.73737,28.130521428571427,17500
0.0,DSN-30,BatchVCG_B1ms,17500,0.5221896520206304,0.5177748808424089,0.5265607166008296,17500,0.0,0.0,0.0,17500,1.5329333554421151e-06,1.5253742937264697e-06,1.5407041486884867e-06,17500,118456.36832115086,116497.30691433197,120437.52967382096,17500,47.222827401947974,45.43975467868773,49.0304972698704,17500,27.932971428571427,27.74114,28.126931428571428,17500
0.0,DSN-30,BatchVCG_B20ms,17500,0.5221940236240099,0.5176769588674545,0.5265499118172813,17500,0.00012943547452712347,3.110663975361416e-05,0.00025129414447707776,17500,1.5084135346114636e-06,1.500772069141801e-06,1.5161222424025515e-06,17500,118475.36829663104,116490.34123633869,120451.05876444581,17500,47.13318936246214,45.343800450081005,48.95365729316948,17500,27.932971428571427,27.736965714285716,28.129605714285713,17500
0.0,DSN-30,BatchVCG_B50ms,17500,0.5222842015854291,0.5178597971530736,0.5267059667027858,17500,0.0002901720694266315,0.00013386854623303242,0.00047847949581735855,17500,1.4811335065002952e-06,1.4740187889297626e-06,1.4884520290485983e-06,17500,118505.368269351,116532.9919334323,120495.08284061703,17500,46.99394350918783,45.19941034132001,48.78818786315365,17500,27.932971428571427,27.738958571428572,28.122347142857144,17500
0.0,DSN-30,BatchVCG_B5ms,17500,0.5221896520206304,0.517657243550676,0.5266201154393642,17500,0.0,0.0,0.0,17500,1.5035384467669896e-06,1.4957994166096407e-06,1.5117286476639232e-06,17500,118460.36829175595,116491.86930216395,120422.67640565145,17500,47.20394221871162,45.38451609282548,48.97157532448098,17500,27.932971428571427,27.734512857142857,28.130578571428572,17500
0.0,DSN-30,FastVCG,17500,0.5221896520206304,0.5177567830215406,0.526664817907947,17500,0.0,0.0,0.0,17500,1.5494928894830602e-06,1.5420711043822978e-06,1.5566855549280133e-06,17500,118455.36833771039,116497.0111375019,120452.65543475357,17500,47.22754985884327,45.42617825056235,49.04083294839428,17500,27.932971428571427,27.73371142857143,28.127147142857144,17500
0.0,DSN-30,HoldBack,17500,0.9964688075475229,0.9961466601002944,0.9967808521643656,17500,0.9469608194569519,0.9459503681887967,0.9479755103032993,17500,2.028977225667664e-06,2.0160593905685738e-06,2.041654844735084e-06,17500,1194723.2083026168,1194601.0267684914,1194834.2398870648,17500,9.711458998964692e-41,3.208386484182365e-43,2.8482332005243603e-40,17500,27.932971428571427,27.73582857142857,28.133951428571425,17500
0.0,DSN-30,LIA_lambda0.5_per_s,17500,0.8855692051474662,0.8830475173949603,0.8880019575637966,17500,0.7282983540103066,0.7245743933567963,0.732096567615599,17500,6.848941683503134e-06,6.80611645836117e-06,6.8929280773071305e-06,17500,1194099.1371320924,1193864.7140316144,1194315.2803676235,17500,3.76724786624222e-33,1.6714065360973501e-38,1.1184065672572847e-32,17500,27.932971428571427,27.73713857142857,28.127774285714285,17500
0.0,DSN-30,LIA_lambda1_per_s,17500,0.8851316229267703,0.8826420835011958,0.8876420037504882,17500,0.727461490345444,0.7237377095648929,0.7311457117049381,17500,6.670022429898381e-06,6.627832937686305e-06,6.713303471083886e-06,17500,1194099.1369531732,1193871.2093778187,1194317.4228766847,17500,3.7672479077800394e-33,1.6620987150523234e-38,1.1184053554164738e-32,17500,27.932971428571427,27.73857,28.13171714285714,17500
0.0,DSN-30,LIA_lambda2_per_s,17500,0.8845567372188426,0.8819984682204468,0.8870104522608875,17500,0.7262643927962438,0.7225406696156362,0.73004033324807,17500,6.638670333528093e-06,6.596792692850743e-06,6.6806870421195134e-06,17500,1194099.136921821,1193863.9340115373,1194319.1205517976,17500,3.7672479039683345e-33,1.6566076635597858e-38,1.1169725226924002e-32,17500,27.932971428571427,27.73930142857143,28.129887142857143,17500
