eps_ms,topology,bidder_count,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,50,BatchVCG_B0.5ms,1000,0.5030490166212191,0.4847185044298264,0.5214536637739677,1000,0.0,0.0,0.0,1000,2.147892606444657e-06,2.1273549675242977e-06,2.171551322680898e-06,1000,55715.7121417895,52371.71585876812,59007.22491412217,1000,76.72217229034845,67.39121581984416,86.48492489094929,1000,46.613,46.508975,46.719,1000
0.0,DSN-30,50,BatchVCG_B10ms,1000,0.5030490166212191,0.48443744704076747,0.5214821811250983,1000,0.00024442207245913163,0.0,0.0007332662173773949,1000,2.0609317580237985e-06,2.045342742349021e-06,2.07752994610928e-06,1000,55725.21205482866,52369.039319875366,59147.11009076836,1000,76.64932192201158,67.29103537561856,86.35508005702496,1000,46.613,46.509,46.719,1000
0.0,DSN-30,50,BatchVCG_B1ms,1000,0.5030490166212191,0.48416620005989014,0.5211354347535145,1000,0.0,0.0,0.0,1000,2.087787142954767e-06,2.0667927019530907e-06,2.1124942402821034e-06,1000,55716.21208168404,52350.94872116164,59036.91415254461,1000,76.71833724786792,67.44136708975546,86.56450195385173,1000,46.613,46.509,46.718,1000
0.0,DSN-30,50,BatchVCG_B2ms,1000,0.5030490166212191,0.4846955962541348,0.5213071202494366,1000,0.0,0.0,0.0,1000,2.054623328149319e-06,2.040889099589549e-06,2.068339643301442e-06,1000,55717.212048520225,52396.71895419184,59139.14284353039,1000,76.7106656568699,67.23085961019851,86.66334158520868,1000,46.613,46.505,46.72,1000
0.0,DSN-30,50,BatchVCG_B5ms,1000,0.5030490166212191,0.48468409253007094,0.5212493287232696,1000,0.0,0.0,0.0,1000,2.080784528516233e-06,2.067079622065648e-06,2.0946920849382877e-06,1000,55720.212074681425,52410.422267266724,59124.11244031634,1000,76.68765590400082,67.34789528653495,86.43250761019867,1000,46.613,46.505,46.72,1000
0.0,DSN-30,50,FastVCG,1000,0.5030490166212191,0.48460940100210764,0.5213479931682184,1000,0.0,0.0,0.0,1000,2.1380854304879903e-06,2.1225562260951845e-06,2.1549338067416103e-06,1000,55715.21213198233,52370.37631011275,59102.44290427357,1000,76.7260088111529,67.19952074158002,86.61833791070688,1000,46.613,46.507,46.72,1000
0.0,DSN-30,50,HoldBack,1000,0.9980560125798903,0.997479670574262,0.9985895303716829,1000,0.9752235562357096,0.9737188737584682,0.9767182466633471,1000,3.0980621231719853e-06,3.0456767970463263e-06,3.163346601650119e-06,1000,1195263.3040777745,1195263.2577484963,1195263.3505080037,1000,1.2060295323766618e-49,1.204475918714018e-49,1.207554192685932e-49,1000,46.613,46.506,46.718,1000
0.0,DSN-30,50,LIA_lambda0.25_per_s,1000,0.9441667911339567,0.939482207385487,0.9488591270276953,1000,0.8688112497155481,0.8622632291130623,0.8751095597695145,1000,1.0388367460109293e-05,1.0313794680405408e-05,1.0466325437300839e-05,1000,1195262.5323787627,1195262.4662655273,1195262.5959655733,1000,1.1409193372465806e-49,1.1351236296921893e-49,1.1465405623908435e-49,1000,46.613,46.506,46.717,1000
0.0,DSN-30,50,LIA_lambda0.5_per_s,1000,0.9440305887179768,0.9392792809988778,0.9485905443761984,1000,0.8686667486086312,0.862231582258688,0.8747956280028036,1000,1.0159722995012999e-05,1.0092240481753833e-05,1.0231592305353843e-05,1000,1195262.5321501184,1195262.4661020513,1195262.5957327965,1000,1.1407560027193678e-49,1.1349428963724875e-49,1.1463490496890664e-49,1000,46.613,46.507,46.719,1000
0.0,DSN-30,50,LIA_lambda1_per_s,1000,0.9437745016190257,0.9389553904570701,0.948284637475577,1000,0.8682735075607377,0.8616555452371973,0.8745291042407235,1000,1.0152458911761641e-05,1.0077868361258879e-05,1.0229701196658425e-05,1000,1195262.5321428543,1195262.4668014774,1195262.5970531488,1000,1.1404477245497992e-49,1.1346458199356132e-49,1.1461638695933977e-49,1000,46.613,46.507,46.719,1000
0.0,DSN-30,50,LIA_lambda2_per_s,1000,0.9430757873887212,0.9383673369003358,0.9476763876463123,1000,0.8668822950001752,0.8604413620687912,0.8731637984220157,1000,1.0143626714125275e-05,1.0071498004253953e-05,1.0219891060842201e-05,1000,1195262.5321340223,1195262.4676677093,1195262.5966894464,1000,1.1396033932628092e-49,1.1337931573012736e-49,1.145205174785186e-49,1000,46.613,46.505,46.717,1000
0.0,DSN-30,50,SyncVCG,1000,0.9980560125798903,0.9974631026309939,0.9985901867311662,1000,0.9752235562357096,0.9737224763917979,0.9767189333492043,1000,4.130040644668043e-06,4.0611220203572885e-06,4.201908598770387e-06,1000,1195263.305109753,1195263.259265793,1195263.3494456285,1000,1.2060294079523353e-49,1.204472712778536e-49,1.207520419721172e-49,1000,46.613,46.507,46.718,1000
0.0,DSN-30,100,BatchVCG_B0.5ms,1000,0.5090725048025526,0.4910567490146999,0.5271818559866707,1000,0.0,0.0,0.0,1000,3.69007873814553e-06,3.6343564570415764e-06,3.766872515552677e-06,1000,28752.5934312373,27031.497057936438,30551.452929540443,1000,124.5986351212319,114.22388443807999,135.56191476056935,1000,93.13,92.974,93.287,1000
0.0,DSN-30,100,BatchVCG_B10ms,1000,0.5090725048025526,0.490380614137596,0.5274744165966636,1000,0.0,0.0,0.0,1000,3.5686035407707095e-06,3.544697182951495e-06,3.593778962385841e-06,1000,28762.0933097621,27003.73255908077,30566.304448460498,1000,124.480324849072,114.20697732039237,135.28485834144888,1000,93.13,92.972,93.289,1000
0.0,DSN-30,100,BatchVCG_B1ms,1000,0.5090725048025526,0.49061013502576717,0.5273815244936613,1000,0.0,0.0,0.0,1000,3.607163904234767e-06,3.5712030745344237e-06,3.6509242258034647e-06,1000,28753.093348322465,27016.134692998512,30523.211977500592,1000,124.59240604771541,113.87953943804321,135.10684664287137,1000,93.13,92.974,93.284,1000
0.0,DSN-30,100,BatchVCG_B2ms,1000,0.5090725048025526,0.4905501966686377,0.5277330232999446,1000,0.0,0.0,0.0,1000,3.581325407139957e-06,3.545415634289384e-06,3.6272028548410162e-06,1000,28754.09332248397,27045.170061800254,30548.006108957492,1000,124.57994845080626,114.1865891828353,135.32340230837974,1000,93.13,92.975,93.286,1000
