eps_ms,topology,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,BatchVCG_B0.5ms,5000,0.5072611787289042,0.49908518205040103,0.5152684719374776,5000,0.0,0.0,0.0,5000,1.2030083476565778e-05,1.173055254505016e-05,1.2337437524693086e-05,5000,21466.14856589303,20507.640071813545,22436.718869944696,5000,224.13420110348835,217.61916021508443,230.8518833592813,5000,344.3674,335.35517,353.232685,5000
0.0,DSN-30,BatchVCG_B10ms,5000,0.5074546629944996,0.4993703872312105,0.5156550805941551,5000,0.0002423924799011377,4.888441449182633e-05,0.0005006807986662447,5000,1.1934679164551199e-05,1.1624847324565053e-05,1.2238230026559905e-05,5000,21475.64847048872,20552.710817620336,22425.68327656558,5000,224.02357967078612,217.48396395294967,230.45687901088746,5000,344.3674,335.479585,353.46001499999994,5000
0.0,DSN-30,BatchVCG_B1ms,5000,0.5072611787289042,0.49911979588083855,0.5152039810635609,5000,0.0,0.0,0.0,5000,1.1910002492368221e-05,1.1605966786155477e-05,1.2209267230937258e-05,5000,21466.648445812047,20537.44225987921,22443.09368372373,5000,224.12299880294603,217.62143320691837,230.6256780245646,5000,344.3674,335.47785,353.466635,5000
0.0,DSN-30,BatchVCG_B2ms,5000,0.5072611787289042,0.4992736651217572,0.5154033404570272,5000,0.0,0.0,0.0,5000,1.1945998785085975e-05,1.1634092847234569e-05,1.2263072571367956e-05,5000,21467.648481808337,20550.096413021263,22421.851396656013,5000,224.10058667065854,217.5414133233545,230.8631079988378,5000,344.3674,335.29895999999997,353.431715,5000
0.0,DSN-30,BatchVCG_B5ms,5000,0.5073885146971792,0.4993275208225976,0.5156495126686735,5000,0.00010711463617963681,0.0,0.00029784445893097977,5000,1.190595724619925e-05,1.160187637375202e-05,1.2209775514202192e-05,5000,21470.6484417668,20521.47416135781,22395.97745891367,5000,224.10430466824548,217.63851042589985,230.65431578207404,5000,344.3674,335.39359,353.30226000000005,5000
0.0,DSN-30,FastVCG,5000,0.5072611787289042,0.4990769845910507,0.5153398033570599,5000,0.0,0.0,0.0,5000,1.2112718517892062e-05,1.1805348847992719e-05,1.2419152441434563e-05,5000,21465.64864852807,20525.123795933872,22432.242088248368,5000,224.1454043951941,217.71606107855806,230.88748731863703,5000,344.3674,335.35195,353.47055,5000
0.0,DSN-30,HoldBack,5000,0.9993639599913735,0.9992321244613142,0.9994870242986571,5000,0.9908583957415605,0.9904303673831252,0.9912792107483688,5000,2.1037042955867947e-05,2.0502234041923657e-05,2.1599733781768008e-05,5000,1195263.7914443312,1195263.7779144123,1195263.8045753848,5000,1.221688998684208e-49,1.2212655861508254e-49,1.222114553139331e-49,5000,344.3674,335.533865,353.684805,5000
0.0,DSN-30,LIA_lambda0.25_per_s,5000,0.9787515924187088,0.9775174882392226,0.979954385259801,5000,0.9505870483669101,0.9486256791490557,0.9525192488651586,5000,6.856294623576105e-05,6.678318918216973e-05,7.033441046718507e-05,5000,1195263.5435073643,1195263.521289777,1195263.5654962668,5000,1.1966508040745998e-49,1.1950355820996586e-49,1.1981907963809211e-49,5000,344.3674,335.38752000000005,353.452155,5000
0.0,DSN-30,LIA_lambda0.5_per_s,5000,0.9784989182864523,0.9772495318345915,0.9796761162955989,5000,0.9501368680483497,0.9481869283211145,0.9520785062748349,5000,6.772733128163964e-05,6.600844099710229e-05,6.950986961834133e-05,5000,1195263.5426717491,1195263.5210703996,1195263.5652042874,5000,1.1963414509955164e-49,1.1947514714962604e-49,1.1979209298984178e-49,5000,344.3674,335.26655999999997,353.388225,5000
0.0,DSN-30,LIA_lambda1_per_s,5000,0.977927704302366,0.9767025054293957,0.9790801279530091,5000,0.9489868843656283,0.947032840240796,0.950891787824181,5000,6.75821689190343e-05,6.584672468889039e-05,6.936877910862677e-05,5000,1195263.542526587,1195263.5200250305,1195263.5643190749,5000,1.1956415704408014e-49,1.1940425088980077e-49,1.1972085797260576e-49,5000,344.3674,335.30155499999995,353.65532499999995,5000
