eps_ms,topology,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,HoldBack,1000,0.9999287094482595,0.9999031044471627,0.9999513876063157,1000,0.9988640138244643,0.9987909690756419,0.9989333658127748,1000,5.632271512877196e-05,5.6012681021820756e-05,5.6643669423647225e-05,1000,1195264.0819583102,1195264.0794679457,1195264.0843586929,1000,1.229879640306654e-49,1.2297974225746413e-49,1.2299616222040552e-49,1000,930.524,930.036,931.0040250000001,1000
0.0,DSN-30,LIA_lambda0.25_per_s,1000,0.9972428031041807,0.9970320410757796,0.9974459136005694,1000,0.993376066594053,0.9930690789989417,0.9936683287344826,1000,0.0001817277743248269,0.00018079852166119962,0.000182722607839969,1000,1195264.1686421393,1195264.1649289348,1195264.1721380993,1000,1.2265653731258774e-49,1.2262933045288366e-49,1.2268205446943623e-49,1000,930.524,930.034,931.005,1000
0.0,DSN-30,LIA_lambda0.5_per_s,1000,0.9967618563678272,0.9965384679962512,0.9969834777922619,1000,0.9925143896347266,0.9921960715350515,0.9928141915454596,1000,0.00018109680037014186,0.00018031539317453282,0.0001819182931940304,1000,1195264.1680111652,1195264.1644836697,1195264.1714934222,1000,1.2259737783392353e-49,1.2256842558443704e-49,1.2262531501037426e-49,1000,930.524,930.0349749999999,931.009,1000
0.0,DSN-30,LIA_lambda1_per_s,1000,0.9960031698696857,0.9957446212502407,0.9962585397043301,1000,0.9909192818400416,0.9905562289632094,0.9912712654903694,1000,0.00018033963616471738,0.00017955307691008783,0.0001811353926983429,1000,1195264.1672540011,1195264.1637014619,1195264.1707727876,1000,1.2250407306751302e-49,1.224710632176589e-49,1.2253676360514233e-49,1000,930.524,930.0449749999999,931.003,1000
0.0,DSN-30,LIA_lambda2_per_s,1000,0.9947175702971516,0.9943937456270917,0.9950396634818858,1000,0.988384739097754,0.9879197894388811,0.9888185438853053,1000,0.00018050629587378352,0.00017971433494531083,0.00018129108177381567,1000,1195264.1674206608,1195264.163897857,1195264.1709470772,1000,1.2234594328497446e-49,1.2230461849956205e-49,1.2238618181347874e-49,1000,930.524,930.0439749999999,931.012,1000
0.0,DSN-30,SyncVCG,1000,0.9999287094482595,0.9999024494847145,0.9999519439295318,1000,0.9988640138244643,0.9987921253785511,0.9989347986555672,1000,7.897737424355001e-05,7.816592081217095e-05,7.979613679053728e-05,1000,1195264.104612969,1195264.102012087,1195264.1070939447,1000,1.229876854022948e-49,1.2297930052245705e-49,1.2299555277177954e-49,1000,930.524,930.048,931.003,1000
0.0,INTERNET-100,HoldBack,1000,0.9999598434052855,0.9999418570694466,0.9999748988688417,1000,0.9989153420703115,0.9988458441370459,0.9989818422979437,1000,5.624823877587914e-05,5.594578096061014e-05,5.656074534635991e-05,1000,16.28095680460563,16.28062653161698,16.28129038510213,1000,997.3072498678347,997.2420967457202,997.3724504288634,1000,948.892,948.494,949.299,1000
0.0,INTERNET-100,LIA_lambda0.25_per_s,1000,0.9998003699359508,0.9997720015936143,0.9998264387503839,1000,0.9986336748073321,0.9985687943130044,0.9986990819158215,1000,0.0001828118070261553,0.0001819741287326906,0.00018369557401456404,1000,16.405676717661606,16.404836079194546,16.406547583021673,1000,997.1357766748602,997.0648700658007,997.2047598829721,1000,948.892,948.482,949.304025,1000
0.0,INTERNET-100,LIA_lambda0.5_per_s,1000,0.9995102883653875,0.9994559906581655,0.9995599196299115,1000,0.9981302842307359,0.9980526099049991,0.9982069059002785,1000,0.00018272616213653236,0.0001816373601119267,0.0001841120350145502,1000,16.405591072771983,16.40447765709357,16.40704704004121,1000,996.8465042216201,996.7615207498869,996.9289370512356,1000,948.892,948.49,949.295025,1000
0.0,INTERNET-100,LIA_lambda1_per_s,1000,0.9991550366548129,0.9990768169139084,0.999229160522901,1000,0.9974149216356143,0.9973064820661215,0.9975215877603741,1000,0.00018216372607275845,0.0001813874752493575,0.00018293962121242657,1000,16.40502863670821,16.404253140054095,16.405839545662875,1000,996.4922817784112,996.3908288900335,996.594293301026,1000,948.892,948.483,949.2910250000001,1000
0.0,INTERNET-100,LIA_lambda2_per_s,1000,0.9985590090185511,0.9984436643657845,0.9986714219675671,1000,0.9962398699932046,0.996089728583625,0.9963870493372421,1000,0.00018259449815377594,0.00018169062603556085,0.0001835611354035791,1000,16.405459408789227,16.404551563051264,16.40641669267544,1000,995.8978187006619,995.7647345444555,996.0299090316673,1000,948.892,948.49,949.296,1000
0.0,INTERNET-100,SyncVCG,1000,0.9999598434052855,0.999941965046829,0.9999752945952055,1000,0.9989153420703115,0.9988472524026049,0.998980596553186,1000,8.461533766239882e-05,8.386850020906422e-05,8.542101937055122e-05,1000,16.30932390349215,16.308573916393193,16.31015019555413,1000,997.304420766222,997.2384980943983,997.3691155894453,1000,948.892,948.478,949.3,1000
0.0,STARLINK-200,HoldBack,1000,0.9999579777007706,0.9999370971492556,0.9999752871732515,1000,0.9989315731024312,0.998865335441366,0.9989960513636591,1000,5.750462273135781e-05,5.709642018773593e-05,5.7974536626716144e-05,1000,69.50726461896065,69.5067796530236,69.50779105780697,1000,992.069852018316,992.0017131726652,992.1367376083164,1000,949.81,949.3899749999999,950.244,1000
0.0,STARLINK-200,LIA_lambda0.25_per_s,1000,0.9993220360220405,0.9992536524472346,0.9993883965612971,1000,0.9976250686501651,0.9975227027764512,0.997725660008698,1000,0.00018693441431969404,0.00018562611258530524,0.0001887520692689577,1000,69.63399251488042,69.63266534941963,69.63575607926401,1000,991.4263393851218,991.3305805974258,991.5159173054533,1000,949.81,949.376,950.2340250000001,1000
0.0,STARLINK-200,LIA_lambda0.5_per_s,1000,0.9987407840207614,0.9986353498198817,0.9988413066455128,1000,0.9965257300220391,0.996384495045431,0.9966636980353227,1000,0.000185736789368093,0.00018489940511935856,0.00018658591648563743,1000,69.63279488992882,69.63191152613336,69.63369454183496,1000,990.8498505983804,990.7285089181858,990.9706719505548,1000,949.81,949.381,950.244,1000
