eps_ms,topology,metric,lia_mechanism,baseline_mechanism,mean_diff,ci_low,ci_high,n
0.0,STARLINK-200,compute_time_s,LIA_lambda1_per_s,SyncVCG,9.152160678058863e-05,9.034328259294853e-05,9.267778175999411e-05,1000
0.0,STARLINK-200,compute_time_s,LIA_lambda2_per_s,HoldBack,0.0001275654329219833,0.0001265809705510037,0.00012850107445265167,1000
0.0,STARLINK-200,compute_time_s,LIA_lambda2_per_s,SyncVCG,9.085575526114553e-05,8.960582618310582e-05,9.209915467072278e-05,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda0.25_per_s,HoldBack,-0.00015947346933474404,-0.00018194892140665752,-0.00013693843829477032,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.00015947346933474404,-0.00018239470459933886,-0.00013695827469325156,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda0.5_per_s,HoldBack,-0.0004495550398981358,-0.0004989584802102476,-0.0004018359914454553,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.0004495550398981358,-0.0004995290242228492,-0.00040113423445481064,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda1_per_s,HoldBack,-0.0008048067504728502,-0.0008814850779882703,-0.0007306742290417227,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda1_per_s,SyncVCG,-0.0008048067504728502,-0.0008796247617783091,-0.0007301413133514481,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda2_per_s,HoldBack,-0.0014008343867344202,-0.0015149564545033096,-0.001291257957109077,1000
0.0,INTERNET-100,welfare_ratio,LIA_lambda2_per_s,SyncVCG,-0.0014008343867344202,-0.001514115288482714,-0.0012877591130408433,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda0.25_per_s,HoldBack,-0.0002816672629794268,-0.0003310021210347459,-0.00023110903870971624,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.0002816672629794268,-0.0003310780882758136,-0.00023252593492984502,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda0.5_per_s,HoldBack,-0.0007850578395756062,-0.0008523614008130839,-0.0007171376290991613,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.0007850578395756062,-0.0008535696197348726,-0.0007160979362448171,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda1_per_s,HoldBack,-0.0015004204346973026,-0.0016054599636722764,-0.0014009274129450071,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda1_per_s,SyncVCG,-0.0015004204346973026,-0.0016006778628850785,-0.0014002394642316106,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda2_per_s,HoldBack,-0.00267547207710706,-0.0028156719727507437,-0.0025287405916345016,1000
0.0,INTERNET-100,revenue_ratio,LIA_lambda2_per_s,SyncVCG,-0.00267547207710706,-0.002818842103163047,-0.0025352524197829788,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda0.25_per_s,HoldBack,0.12471991305597456,0.12394399305683165,0.12555281447066452,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda0.25_per_s,SyncVCG,0.09635281416945489,0.09530117846948531,0.09736338772002504,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda0.5_per_s,HoldBack,0.12463426816635163,0.12354692542571015,0.12600703888185794,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda0.5_per_s,SyncVCG,0.09626716927983196,0.09492266393553919,0.09775864400226354,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda1_per_s,HoldBack,0.1240718321025777,0.1232757606161689,0.12489766175978141,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda1_per_s,SyncVCG,0.09570473321605803,0.09458961152099657,0.09675017123410995,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda2_per_s,HoldBack,0.1245026041835952,0.12354070332868697,0.1254711308774763,1000
0.0,INTERNET-100,clearing_latency_ms,LIA_lambda2_per_s,SyncVCG,0.09613550529707553,0.09492656508223891,0.0973480138226674,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda0.25_per_s,HoldBack,-0.17147319297452157,-0.1941872748169267,-0.14937730463760873,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda0.25_per_s,SyncVCG,-0.16864409136177824,-0.1915942539885926,-0.146856388282648,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda0.5_per_s,HoldBack,-0.46074564621482467,-0.5107538773257381,-0.41183773200597545,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda0.5_per_s,SyncVCG,-0.4579165446020813,-0.5069817019693453,-0.40831795323455666,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda1_per_s,HoldBack,-0.8149680894235098,-0.8902209146813826,-0.7410392068974516,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda1_per_s,SyncVCG,-0.8121389878107664,-0.88781283987673,-0.7389391481587153,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda2_per_s,HoldBack,-1.4094311671729083,-1.520304046843682,-1.2978520878807653,1000
0.0,INTERNET-100,effective_welfare,LIA_lambda2_per_s,SyncVCG,-1.406602065560165,-1.520032239791946,-1.2956131156513482,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda0.25_per_s,HoldBack,0.00012656356825027615,0.0001257870386703871,0.00012738790923031047,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda0.25_per_s,SyncVCG,9.819646936375647e-05,9.716730765649117e-05,9.922566473542247e-05,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda0.5_per_s,HoldBack,0.0001264779233606532,0.0001253978300432209,0.00012784441832336597,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda0.5_per_s,SyncVCG,9.811082447413354e-05,9.679532144509721e-05,9.960014727548697e-05,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda1_per_s,HoldBack,0.0001259154872968793,0.00012513153604522815,0.00012671814350469503,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda1_per_s,SyncVCG,9.754838841035962e-05,9.646434586902614e-05,9.858814494218678e-05,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda2_per_s,HoldBack,0.0001263462593778968,0.00012539249302353708,0.00012732936337124556,1000
0.0,INTERNET-100,compute_time_s,LIA_lambda2_per_s,SyncVCG,9.797916049137711e-05,9.674041339894756e-05,9.91921188076958e-05,1000
0.0,DSN-30,welfare_ratio,LIA_lambda0.25_per_s,HoldBack,-0.0026859063440787955,-0.00289338107927224,-0.0024875284876512624,1000
0.0,DSN-30,welfare_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.0026859063440787955,-0.0028942051341061454,-0.002478960357813974,1000
0.0,DSN-30,welfare_ratio,LIA_lambda0.5_per_s,HoldBack,-0.0031668530804322037,-0.003391903382811353,-0.0029411349974348246,1000
0.0,DSN-30,welfare_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.0031668530804322037,-0.0033941843781756784,-0.0029498846875092963,1000
0.0,DSN-30,welfare_ratio,LIA_lambda1_per_s,HoldBack,-0.003925539578573786,-0.004185961919820658,-0.0036696963375873596,1000
0.0,DSN-30,welfare_ratio,LIA_lambda1_per_s,SyncVCG,-0.003925539578573786,-0.00418567146166919,-0.003669121285060581,1000
0.0,DSN-30,welfare_ratio,LIA_lambda2_per_s,HoldBack,-0.005211139151107888,-0.005542179818610279,-0.0048973026411416876,1000
0.0,DSN-30,welfare_ratio,LIA_lambda2_per_s,SyncVCG,-0.005211139151107888,-0.005534412733319679,-0.004886172601821083,1000
0.0,DSN-30,revenue_ratio,LIA_lambda0.25_per_s,HoldBack,-0.005487947230411433,-0.005791543923987674,-0.005201414452936976,1000
0.0,DSN-30,revenue_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.005487947230411433,-0.005792180566573204,-0.00519356996923533,1000
0.0,DSN-30,revenue_ratio,LIA_lambda0.5_per_s,HoldBack,-0.006349624189737758,-0.00666070007156831,-0.006046917577720489,1000
0.0,DSN-30,revenue_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.006349624189737758,-0.0066561132283966895,-0.006044163310707417,1000
0.0,DSN-30,revenue_ratio,LIA_lambda1_per_s,HoldBack,-0.007944731984422724,-0.008295318140403785,-0.007591329325635865,1000
0.0,DSN-30,revenue_ratio,LIA_lambda1_per_s,SyncVCG,-0.007944731984422724,-0.008299624124135862,-0.00759150711730713,1000
0.0,DSN-30,revenue_ratio,LIA_lambda2_per_s,HoldBack,-0.010479274726710322,-0.01093534879420981,-0.010033828683939651,1000
0.0,DSN-30,revenue_ratio,LIA_lambda2_per_s,SyncVCG,-0.010479274726710322,-0.010927669199616179,-0.010035209234803706,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda0.25_per_s,HoldBack,0.08668382917577401,0.08410406537554227,0.08918685835986398,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda0.25_per_s,SyncVCG,0.06402917006099597,0.061313337883813074,0.06666120469600428,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda0.5_per_s,HoldBack,0.08605285522108898,0.08358928782120346,0.08852721796102705,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda0.5_per_s,SyncVCG,0.06339819610631094,0.060747585292957956,0.06603436114518554,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda1_per_s,HoldBack,0.08529569101566449,0.08273347043385147,0.08786109155687154,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda1_per_s,SyncVCG,0.06264103190088645,0.05997937228715163,0.06523880509613664,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda2_per_s,HoldBack,0.08546235072473064,0.0828571849428059,0.08801187134301873,1000
0.0,DSN-30,clearing_latency_ms,LIA_lambda2_per_s,SyncVCG,0.0628076916099526,0.060050325248710575,0.06543359838550096,1000
0.0,DSN-30,effective_welfare,LIA_lambda0.25_per_s,HoldBack,-3.3142671807764704e-52,-3.5690488953345495e-52,-3.0628602373638046e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda0.25_per_s,SyncVCG,-3.3114808970702497e-52,-3.566400178814424e-52,-3.0594426946441602e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda0.5_per_s,HoldBack,-3.905861967418622e-52,-4.1694596544345394e-52,-3.632804414140736e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda0.5_per_s,SyncVCG,-3.903075683712402e-52,-4.177992390833063e-52,-3.62784555605392e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda1_per_s,HoldBack,-4.838909631523975e-52,-5.169057569531018e-52,-4.518032950838757e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda1_per_s,SyncVCG,-4.836123347817754e-52,-5.1550009473300295e-52,-4.518375899622186e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda2_per_s,HoldBack,-6.420207456909368e-52,-6.81468530176264e-52,-6.0329228886031424e-52,1000
0.0,DSN-30,effective_welfare,LIA_lambda2_per_s,SyncVCG,-6.4174211732031466e-52,-6.817241776579137e-52,-6.018373932814501e-52,1000
0.0,DSN-30,compute_time_s,LIA_lambda0.25_per_s,HoldBack,0.00012540505919605494,0.00012452556811331307,0.00012632236189383548,1000
0.0,DSN-30,compute_time_s,LIA_lambda0.25_per_s,SyncVCG,0.0001027504000812769,0.00010166880362958182,0.00010386419604765251,1000
0.0,DSN-30,compute_time_s,LIA_lambda0.5_per_s,HoldBack,0.0001247740852413699,0.00012399428567150606,0.0001255524920998141,1000
0.0,DSN-30,compute_time_s,LIA_lambda0.5_per_s,SyncVCG,0.00010211942612659186,0.0001010963050473947,0.00010313981084909756,1000
0.0,DSN-30,compute_time_s,LIA_lambda1_per_s,HoldBack,0.00012401692103594541,0.00012320887420210055,0.0001248322891857242,1000
0.0,DSN-30,compute_time_s,LIA_lambda1_per_s,SyncVCG,0.00010136226192116737,0.0001003380241105333,0.00010241831426683347,1000
0.0,DSN-30,compute_time_s,LIA_lambda2_per_s,HoldBack,0.00012418358074501156,0.00012332131985167506,0.00012503802082210316,1000
0.0,DSN-30,compute_time_s,LIA_lambda2_per_s,SyncVCG,0.00010152892163023352,0.00010042134536197409,0.00010262437497731298,1000
