topology,instance_id,bidder_count,feasible_count,infeasible_count,feasible_fraction,mechanism,horizon_ms,opt_value,winner_id,winner_value,payment,welfare_ratio,revenue_ratio,decision_time_ms,clearing_latency_ms,effective_welfare,compute_time_s,clique_number_w,eps_ms
STARLINK-200,0,1000,932,68,0.932,SyncVCG,69.45258962948427,999.0460471760921,259,999.0460471760921,997.9695685586638,1.0,0.9989224934921959,69.5765066382344,69.5750300542471,992.1193056545715,0.00012391700875014067,932,0.0
STARLINK-200,0,1000,932,68,0.932,HoldBack,69.45258962948427,999.0460471760921,259,999.0460471760921,997.9695685586638,1.0,0.9989224934921959,69.5078396427314,69.50636305874409,992.1261182631515,5.52500132471323e-05,932,0.0
STARLINK-200,0,1000,932,68,0.932,LIA_lambda0.25_per_s,69.45258962948427,999.0460471760921,729,997.9695685586638,997.3256844375926,0.9989224934921959,0.9982779945495383,69.64053205946492,69.6390554754776,991.0439454252913,0.0001885410165414214,932,0.0
STARLINK-200,0,1000,932,68,0.932,LIA_lambda0.5_per_s,69.45258962948427,999.0460471760921,729,997.9695685586638,996.7780961454338,0.9989224934921959,0.9977298833851864,69.64169900665091,69.6402224226636,991.0438297757038,0.0001897079637274146,932,0.0
STARLINK-200,0,1000,932,68,0.932,LIA_lambda1_per_s,69.45258962948427,999.0460471760921,659,986.9634714603883,986.9432554154831,0.987905887071115,0.9878856517226421,69.6379910622354,69.63651447824809,980.1144765371278,0.0001860000193119049,932,0.0
STARLINK-200,0,1000,932,68,0.932,LIA_lambda2_per_s,69.45258962948427,999.0460471760921,659,986.9634714603883,982.8753161375967,0.987905887071115,0.9838138281171287,69.62299106443332,69.62151448044601,980.1159467097299,0.00017100002150982618,932,0.0
STARLINK-200,1,1000,949,51,0.949,SyncVCG,69.45258962948427,999.9244177095047,149,999.9244177095047,999.6243600911222,1.0,0.9996999197008611,69.529464603668,69.5288598758225,992.996170803168,7.687497418373823e-05,949,0.0
STARLINK-200,1,1000,949,51,0.949,HoldBack,69.45258962948427,999.9244177095047,149,999.9244177095047,999.6243600911222,1.0,0.9996999197008611,69.50354869038418,69.50294396253868,992.998744246768,5.095906089991331e-05,949,0.0
STARLINK-200,1,1000,949,51,0.949,LIA_lambda0.25_per_s,69.45258962948427,999.9244177095047,149,999.9244177095047,998.2034989085536,1.0,0.9982789511182323,69.63026125269334,69.62965652484785,992.9861617849606,0.00018091697711497545,949,0.0
STARLINK-200,1,1000,949,51,0.949,LIA_lambda0.5_per_s,69.45258962948427,999.9244177095047,149,999.9244177095047,996.7846573311284,1.0,0.9968600022934049,69.65013521077435,69.64953048292885,992.9841883303862,0.00020079093519598246,949,0.0
STARLINK-200,1,1000,949,51,0.949,LIA_lambda1_per_s,69.45258962948427,999.9244177095047,149,999.9244177095047,997.6158911277417,1.0,0.9976912989213215,69.64546928467553,69.64486455683003,992.9846516495783,0.0001961250090971589,949,0.0
STARLINK-200,1,1000,949,51,0.949,LIA_lambda2_per_s,69.45258962948427,999.9244177095047,347,992.4184051006285,989.5325323171651,0.9924934200266157,0.9896073291057899,69.64626125810992,69.64565653026442,985.5306548982146,0.00019691698253154755,949,0.0
STARLINK-200,2,1000,940,60,0.94,SyncVCG,69.45258962948427,997.8445326694036,842,997.8445326694036,995.8020728996283,1.0,0.9979531282650701,69.56029766731515,69.56024766176957,990.9275865022026,0.00010770803783088923,940,0.0
STARLINK-200,2,1000,940,60,0.94,HoldBack,69.45258962948427,997.8445326694036,842,997.8445326694036,995.8020728996283,1.0,0.9979531282650701,69.51804763664111,69.51799763109553,990.9317731831396,6.545800715684891e-05,940,0.0
STARLINK-200,2,1000,940,60,0.94,LIA_lambda0.25_per_s,69.45258962948427,997.8445326694036,8,995.8020728996283,991.8871643647601,0.9979531282650701,0.9940297630446433,69.65369097217305,69.65364096662746,988.8900492199181,0.00020454195328056812,940,0.0
STARLINK-200,2,1000,940,60,0.94,LIA_lambda0.5_per_s,69.45258962948427,997.8445326694036,8,995.8020728996283,991.9368450754935,0.9979531282650701,0.9940795510718428,69.64160706176742,69.64155705622183,988.8912441865158,0.0001924580428749323,940,0.0
STARLINK-200,2,1000,940,60,0.94,LIA_lambda1_per_s,69.45258962948427,997.8445326694036,8,995.8020728996283,992.0362139621677,0.9979531282650701,0.9941791346075749,69.6242739845006,69.62422397895502,988.8929582408356,0.00017512496560811996,940,0.0
STARLINK-200,2,1000,940,60,0.94,LIA_lambda2_per_s,69.45258962948427,997.8445326694036,8,995.8020728996283,992.3197456564789,0.9979531282650701,0.9944632787653352,69.63060697800799,69.6305569724624,988.8923319757654,0.00018145795911550522,940,0.0
STARLINK-200,3,1000,939,61,0.939,SyncVCG,69.45258962948427,999.3826125559251,435,997.7219184891452,995.2802615326044,0.9983382800081616,0.9958951146720184,69.5324226005803,69.53049475619926,990.8087702092553,7.983297109603882e-05,939,0.0
STARLINK-200,3,1000,939,61,0.939,HoldBack,69.45258962948427,999.3826125559251,435,997.7219184891452,995.2802615326044,0.9983382800081616,0.9958951146720184,69.50696454875722,69.50503670437618,990.811292618568,5.437491927295923e-05,939,0.0
STARLINK-200,3,1000,939,61,0.939,LIA_lambda0.25_per_s,69.45258962948427,999.3826125559251,258,995.2802615326044,993.1962619933541,0.9958951146720184,0.993809827702776,69.62047504548092,69.61854720109987,988.3753284053327,0.00017129199113696814,939,0.0
STARLINK-200,3,1000,939,61,0.939,LIA_lambda0.5_per_s,69.45258962948427,999.3826125559251,258,995.2802615326044,988.6911338294955,0.9958951146720184,0.9893019164110869,69.61922497775514,69.6172971333741,988.3754519589504,0.0001700419234111905,939,0.0
STARLINK-200,3,1000,939,61,0.939,LIA_lambda1_per_s,69.45258962948427,999.3826125559251,258,995.2802615326044,989.131749565521,0.9958951146720184,0.9897428043457875,69.61980810210217,69.61788025772113,988.375394324373,0.00017062504775822163,939,0.0
STARLINK-200,3,1000,939,61,0.939,LIA_lambda2_per_s,69.45258962948427,999.3826125559251,258,995.2802615326044,990.2294380722149,0.9958951146720184,0.9908411709702444,69.63751708444316,69.63558924006212,988.3736440136825,0.00018833403009921312,939,0.0
STARLINK-200,4,1000,967,33,0.967,SyncVCG,69.45258962948427,999.4632714023523,392,999.4632714023523,998.8311417348825,1.0,0.99936753086826,69.53346463412598,69.5326827197326,992.5378402411939,8.087500464171171e-05,967,0.0
STARLINK-200,4,1000,967,33,0.967,HoldBack,69.45258962948427,999.4632714023523,392,999.4632714023523,998.8311417348825,1.0,0.99936753086826,69.51767266288951,69.51689074849614,992.539407655334,6.508303340524435e-05,967,0.0
STARLINK-200,4,1000,967,33,0.967,LIA_lambda0.25_per_s,69.45258962948427,999.4632714023523,921,996.5522424309041,995.6195632457529,0.9970874077570017,0.9961542277074311,69.62352334696746,69.62274143257409,989.6380696336192,0.0001759999431669712,967,0.0
STARLINK-200,4,1000,967,33,0.967,LIA_lambda0.5_per_s,69.45258962948427,999.4632714023523,921,996.5522424309041,992.945919346074,0.9970874077570017,0.9934791480159808,69.65727342933363,69.65649151494026,989.6347296026194,0.0002097500255331397,967,0.0
STARLINK-200,4,1000,967,33,0.967,LIA_lambda1_per_s,69.45258962948427,999.4632714023523,921,996.5522424309041,989.9707464202097,0.9970874077570017,0.9905023773721834,69.64977337222493,69.64899145783156,989.6354718345966,0.00020224996842443943,967,0.0
