eps_ms,topology,bidder_count,mechanism,g1ms,g1ms_ci_low,g1ms_ci_high,sup_g,sup_g_ci_low,sup_g_ci_high,instance_count,bidder_sample_count,delta_grid_ms,g_delta,g_delta_ci_low,g_delta_ci_high
0.0,STARLINK-200,1000,SyncVCG,0.0,0.0,0.0,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.0,STARLINK-200,1000,HoldBack,0.0,0.0,0.0,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.0,STARLINK-200,1000,LIA_lambda0.25_per_s,-0.0002992645070495883,-0.0005488140979777535,-9.966775106761361e-05,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-7.480911289665074e-05, -0.00014962290150863283, -0.0002992645070495883, -0.0005432865148674637, -0.0010871736183319172, -0.0012061377440738853]","[-0.00013718904662023137, -0.0002744214207059923, -0.0005488386804745499, -0.0010216452945946259, -0.0021211527879094715, -0.002389075553457016]","[-2.4905996389520624e-05, -4.983076091650673e-05, -9.963332598845226e-05, -0.00016442010631801624, -0.00027421156289588, -0.0002826749678352144]"
0.0,STARLINK-200,1000,LIA_lambda0.5_per_s,-0.00043719946238863946,-0.000896038966111041,-9.941890155046166e-05,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.0001245530285672885, -0.00023796574433579282, -0.00043719946238863946, -0.0008358163549176198, -0.0016040537893348757, -0.0019619770348843304]","[-0.00024906002881140634, -0.0004756328425693027, -0.0008743947089927157, -0.0016720559055293958, -0.003426766941390139, -0.004328799090043592]","[-2.4895039895409355e-05, -4.979103019456943e-05, -9.959450970279704e-05, -0.0001988875249811599, -0.000288744421130059, -0.0002499625926431463]"
0.0,STARLINK-200,1000,LIA_lambda1_per_s,-0.001059835380257482,-0.002048098804993264,-0.00029879574997576126,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.00030246289532485666, -0.000597542650452101, -0.001059835380257482, -0.001855479421824657, -0.0038683561786127933, -0.004385792499551758]","[-0.0005546625238735345, -0.0010954767617996491, -0.0019939341766837, -0.0036472989732593882, -0.007807090928751653, -0.009223122133043098]","[-9.944012939238291e-05, -0.00019860736883032303, -0.00029480222384331686, -0.00041394098371175475, -0.0009226391421795596, -0.0009169066042441956]"
0.0,STARLINK-200,1000,LIA_lambda2_per_s,-0.002020706542075595,-0.003761211954672858,-0.0006070220567138903,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.0006957632250638199, -0.0012490885942967906, -0.002020706542075595, -0.0031812596240858282, -0.003750199647846694, -0.003750199647846694]","[-0.0012912769902938498, -0.0022888312172914195, -0.0037795320220735573, -0.006300762126025733, -0.0075992894812648955, -0.0077134839100136575]","[-0.00029758380494295124, -0.00039778967002700936, -0.0005888888650063109, -0.0007823773952386091, -0.0007498102283956314, -0.0007498102283956314]"
0.0,INTERNET-100,1000,SyncVCG,0.0,0.0,0.0,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.0,INTERNET-100,1000,HoldBack,0.0,0.0,0.0,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.0,INTERNET-100,1000,LIA_lambda0.25_per_s,-0.00030458120266578135,-0.0005594166737623885,-9.981027450760394e-05,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-7.999467575530163e-05, -0.0001548521725549108, -0.00030458120266578135, -0.0005950081109694792, -0.001218472760077384, -0.0013096919134100973]","[-0.0001452222892784704, -0.00027964425368171865, -0.0005593404244546787, -0.0010949681698504366, -0.002346041203706238, -0.0025418642501028837]","[-2.4968702197134005e-05, -4.990201818275182e-05, -9.97366305553669e-05, -0.0001957364894561806, -0.00034013901023299695, -0.0003457565874788088]"
0.0,INTERNET-100,1000,LIA_lambda0.5_per_s,-0.0005748911463969534,-0.0010490056300963826,-0.00018701293435692608,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.00017149802029400686, -0.000321131776051925, -0.0005748911463969534, -0.0009693757856781304, -0.0012187147179261047, -0.0012187147179261047]","[-0.00031500537440481817, -0.0005928983115264708, -0.001065048638103668, -0.0018405821210431689, -0.002405981090830413, -0.002429496957716468]","[-4.991298486208961e-05, -9.976988388141309e-05, -0.00018701293435692608, -0.00026618345876092066, -0.0003050543580642625, -0.00030391941053453593]"
0.0,INTERNET-100,1000,LIA_lambda1_per_s,-0.0004998704604214026,-0.0011197435007960393,-2.324064459889996e-05,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.00017740799651901396, -0.00032705703535291375, -0.0004998704604214026, -0.0006993634590666489, -0.0011018092931062936, -0.0011018092931062936]","[-0.0003734194244688717, -0.0007211551690401529, -0.001126178108857054, -0.0017003408176935397, -0.0029726128313351074, -0.0029492582937194582]","[-2.324064459889996e-05, -2.7796365268864068e-05, -2.324064459889996e-05, -2.7796365268864068e-05, -2.324064459889996e-05, -2.7796365268864068e-05]"
0.0,INTERNET-100,1000,LIA_lambda2_per_s,-0.0013701941920562604,-0.0027997654681912987,-0.0002658207531581638,0.0,0.0,0.0014484511109266718,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[-0.00047433608599162653, -0.0008724899685971194, -0.0013701941920562604, -0.0021674773623605007, -0.0014605400476943257, -0.0023302374674515017]","[-0.0009264057936024477, -0.0017251602051001776, -0.0028193184388589873, -0.0047974962270750385, -0.0046444981686741315, -0.005225690931321131]","[-0.00011695583090718174, -0.00019974599577182375, -0.0002658207531581638, -0.0002676005634923513, 0.0014735740863561888, -0.0002676005634923513]"
0.0,DSN-30,1000,SyncVCG,0.0,0.0,0.0,0.0,0.0,0.0,1000,5000,"[0.25, 0.5, 1.0, 2.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
