eps_ms,topology,bidder_count,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,1000,HoldBack,1000,0.9999287094482595,0.9999033968509938,0.9999518042778828,1000,0.9988640138244643,0.9987909273124789,0.9989351543568132,1000,5.632271512877196e-05,5.599979028920643e-05,5.665077072917484e-05,1000,1195264.0819583102,1195264.0794436068,1195264.0843498772,1000,1.229879640306654e-49,1.2297978477171713e-49,1.229960236921648e-49,1000,930.524,930.034,931.014,1000
0.0,DSN-30,1000,LIA_lambda0.25_per_s,1000,0.9972428031041807,0.9970333776814027,0.997446976290663,1000,0.993376066594053,0.993074238113949,0.9936779336388322,1000,0.0001817277743248269,0.00018079381073475817,0.00018270088858844246,1000,1195264.1686421393,1195264.16505846,1195264.17211462,1000,1.2265653731258774e-49,1.2262963225272803e-49,1.2268232012359242e-49,1000,930.524,930.0449749999999,931.015025,1000
0.0,DSN-30,1000,LIA_lambda0.5_per_s,1000,0.9967618563678272,0.99653515474156,0.9969820211360529,1000,0.9925143896347266,0.9921980031627207,0.9928277943182949,1000,0.00018109680037014186,0.00018028713609091935,0.00018192056313564534,1000,1195264.1680111652,1195264.1644148608,1195264.1715631217,1000,1.2259737783392353e-49,1.2256818751062566e-49,1.2262538041728178e-49,1000,930.524,930.0309749999999,931.00805,1000
0.0,DSN-30,1000,LIA_lambda1_per_s,1000,0.9960031698696857,0.9957385072817015,0.9962603454547901,1000,0.9909192818400416,0.9905570612716665,0.9912745055523885,1000,0.00018033963616471738,0.00017954391945386306,0.00018113823485036847,1000,1195264.1672540011,1195264.1636981564,1195264.1707756259,1000,1.2250407306751302e-49,1.224715586974092e-49,1.2253661469071586e-49,1000,930.524,930.036975,931.001,1000
0.0,DSN-30,1000,LIA_lambda2_per_s,1000,0.9947175702971516,0.9943890602969114,0.9950440628888096,1000,0.988384739097754,0.9879351856355796,0.9888396023141263,1000,0.00018050629587378352,0.0001797339249547804,0.00018130026871804146,1000,1195264.1674206608,1195264.1638676112,1195264.1709716532,1000,1.2234594328497446e-49,1.2230567829177597e-49,1.2238550286127412e-49,1000,930.524,930.040975,931.001,1000
0.0,DSN-30,1000,SyncVCG,1000,0.9999287094482595,0.9999032165517204,0.9999512203069089,1000,0.9988640138244643,0.998790934022708,0.9989341469775649,1000,7.897737424355001e-05,7.81877347471891e-05,7.975587847759015e-05,1000,1195264.104612969,1195264.1019938993,1195264.1071755444,1000,1.229876854022948e-49,1.229795817249584e-49,1.2299576435144796e-49,1000,930.524,930.031975,931.003,1000
0.0,INTERNET-100,1000,HoldBack,1000,0.9999598434052855,0.9999426695664673,0.9999752260708171,1000,0.9989153420703115,0.9988465405992345,0.9989812354459071,1000,5.624823877587914e-05,5.594517595600337e-05,5.656095309532247e-05,1000,16.28095680460563,16.280628703144323,16.281295444882943,1000,997.3072498678347,997.2403660643291,997.3740723942902,1000,948.892,948.487975,949.286025,1000
0.0,INTERNET-100,1000,LIA_lambda0.25_per_s,1000,0.9998003699359508,0.9997720909598703,0.9998269475157545,1000,0.9986336748073321,0.9985643525777219,0.9986983749266308,1000,0.0001828118070261553,0.00018197955173382069,0.00018368549303268084,1000,16.405676717661606,16.40481947258314,16.406559758798505,1000,997.1357766748602,997.0634850540707,997.205415888352,1000,948.892,948.488975,949.293,1000
0.0,INTERNET-100,1000,LIA_lambda0.5_per_s,1000,0.9995102883653875,0.9994580522255357,0.9995604817602232,1000,0.9981302842307359,0.998051400098605,0.9982082076371245,1000,0.00018272616213653236,0.00018163030070136301,0.00018410708623414393,1000,16.405591072771983,16.404480568009834,16.40697695594206,1000,996.8465042216201,996.761539194928,996.9299922148407,1000,948.892,948.496,949.304,1000
0.0,INTERNET-100,1000,LIA_lambda1_per_s,1000,0.9991550366548129,0.999077976130492,0.9992293961926274,1000,0.9974149216356143,0.9973072241195923,0.9975205122298079,1000,0.00018216372607275845,0.0001813785918027861,0.00018297758338158018,1000,16.40502863670821,16.40423670114764,16.405817085595917,1000,996.4922817784112,996.3872177436043,996.5934136298712,1000,948.892,948.488975,949.2930250000001,1000
0.0,INTERNET-100,1000,LIA_lambda2_per_s,1000,0.9985590090185511,0.9984431791187668,0.9986693370441415,1000,0.9962398699932046,0.9960871477308952,0.9963898857029473,1000,0.00018259449815377594,0.00018166347225778736,0.00018354829741583674,1000,16.405459408789227,16.404554448480205,16.406437814799986,1000,995.8978187006619,995.7657406804577,996.0306574469595,1000,948.892,948.483,949.289,1000
0.0,INTERNET-100,1000,SyncVCG,1000,0.9999598434052855,0.9999420326719606,0.9999750676947485,1000,0.9989153420703115,0.9988469397124855,0.9989809211084043,1000,8.461533766239882e-05,8.388329631998203e-05,8.543619845295325e-05,1000,16.30932390349215,16.30856656850076,16.31018469137589,1000,997.304420766222,997.2392409021706,997.3695548606288,1000,948.892,948.4869749999999,949.286025,1000
0.0,STARLINK-200,1000,HoldBack,1000,0.9999579777007706,0.9999370941967993,0.9999753195480336,1000,0.9989315731024312,0.9988670031548049,0.9989962023578395,1000,5.750462273135781e-05,5.709963261033408e-05,5.796957266284153e-05,1000,69.50726461896065,69.50679498726174,69.50778601628018,1000,992.069852018316,992.000355305961,992.1353529895059,1000,949.81,949.3819749999999,950.234,1000
0.0,STARLINK-200,1000,LIA_lambda0.25_per_s,1000,0.9993220360220405,0.9992512313841354,0.9993891022960699,1000,0.9976250686501651,0.9975214163162615,0.9977258521050563,1000,0.00018693441431969404,0.0001856476751534501,0.00018866113178955856,1000,69.63399251488042,69.63262759691494,69.63578243406053,1000,991.4263393851218,991.3305573607145,991.51671815931,1000,949.81,949.396,950.236025,1000
0.0,STARLINK-200,1000,LIA_lambda0.5_per_s,1000,0.9987407840207614,0.9986372662197424,0.9988403378279066,1000,0.9965257300220391,0.9963888154079371,0.9966680649315195,1000,0.000185736789368093,0.0001848862074984936,0.00018658239306241738,1000,69.63279488992882,69.63187853924906,69.63368068506558,1000,990.8498505983804,990.7285090908625,990.9698073214727,1000,949.81,949.379975,950.24,1000
0.0,STARLINK-200,1000,LIA_lambda1_per_s,1000,0.9978956271233271,0.997743641630184,0.9980479206794272,1000,0.994905650027581,0.9947128960576953,0.9950943816672175,1000,0.0001857359071727842,0.00018486740197695326,0.00018660297373426145,1000,69.63279400773351,69.63190731706091,69.63369601671623,1000,990.0112237257614,989.8443619105519,990.170301699877,1000,949.81,949.382,950.235,1000
